trial,timepoints,h0m0,h0m1,h0m2,h1m0,h1m1,h1m2,h2m0,h2m1,h2m2,ca
1000.0,0.003002,4864.0,4271.0,951.0,4417.0,3878.0,838.0,1023.0,843.0,194.0,76.0
1000.0,0.003003,4864.0,4271.0,951.0,4418.0,3877.0,838.0,1023.0,843.0,194.0,77.0
1000.0,0.0030039999999999997,4864.0,4271.0,951.0,4418.0,3877.0,838.0,1023.0,843.0,194.0,77.0
1000.0,0.003005,4865.0,4270.0,951.0,4417.0,3878.0,838.0,1023.0,843.0,194.0,77.0
1000.0,0.003006,4865.0,4270.0,951.0,4417.0,3878.0,838.0,1023.0,843.0,194.0,77.0
1000.0,0.0030069999999999997,4865.0,4271.0,950.0,4417.0,3878.0,838.0,1023.0,843.0,194.0,78.0
1000.0,0.003008,4866.0,4270.0,950.0,4417.0,3878.0,838.0,1023.0,843.0,194.0,79.0
1000.0,0.003009,4866.0,4270.0,950.0,4418.0,3877.0,838.0,1023.0,843.0,194.0,80.0
1000.0,0.0030099999999999997,4866.0,4270.0,950.0,4418.0,3878.0,837.0,1023.0,843.0,194.0,81.0
1000.0,0.003011,4866.0,4269.0,951.0,4418.0,3878.0,837.0,1023.0,843.0,194.0,80.0
1000.0,0.003012,4866.0,4269.0,951.0,4418.0,3878.0,837.0,1023.0,843.0,194.0,80.0
1000.0,0.003013,4867.0,4268.0,951.0,4418.0,3878.0,837.0,1023.0,843.0,194.0,81.0
1000.0,0.0030139999999999998,4867.0,4268.0,951.0,4418.0,3878.0,837.0,1023.0,843.0,194.0,81.0
1000.0,0.003015,4867.0,4268.0,951.0,4418.0,3878.0,837.0,1022.0,844.0,194.0,80.0
1000.0,0.003016,4866.0,4269.0,951.0,4418.0,3878.0,837.0,1022.0,844.0,194.0,79.0
1000.0,0.0030169999999999997,4866.0,4269.0,951.0,4417.0,3879.0,837.0,1022.0,844.0,194.0,78.0
1000.0,0.003018,4866.0,4270.0,950.0,4417.0,3879.0,837.0,1022.0,844.0,194.0,79.0
1000.0,0.003019,4866.0,4270.0,950.0,4417.0,3879.0,837.0,1022.0,844.0,194.0,79.0
1000.0,0.0030199999999999997,4866.0,4270.0,950.0,4417.0,3879.0,837.0,1022.0,844.0,194.0,79.0
1000.0,0.003021,4865.0,4271.0,950.0,4417.0,3881.0,835.0,1022.0,844.0,194.0,80.0
1000.0,0.003022,4865.0,4271.0,950.0,4416.0,3882.0,835.0,1022.0,844.0,194.0,79.0
1000.0,0.003023,4865.0,4271.0,950.0,4416.0,3882.0,835.0,1022.0,844.0,194.0,79.0
1000.0,0.0030239999999999998,4865.0,4271.0,950.0,4415.0,3883.0,835.0,1022.0,844.0,194.0,78.0
1000.0,0.003025,4864.0,4272.0,950.0,4415.0,3883.0,835.0,1022.0,844.0,194.0,77.0
1000.0,0.003026,4865.0,4271.0,950.0,4415.0,3883.0,835.0,1022.0,844.0,194.0,78.0
1000.0,0.0030269999999999997,4864.0,4272.0,950.0,4415.0,3883.0,835.0,1022.0,844.0,194.0,77.0
1000.0,0.003028,4865.0,4271.0,950.0,4415.0,3883.0,835.0,1022.0,844.0,194.0,78.0
1000.0,0.003029,4864.0,4272.0,950.0,4415.0,3883.0,835.0,1022.0,844.0,194.0,77.0
1000.0,0.0030299999999999997,4865.0,4271.0,950.0,4415.0,3882.0,836.0,1023.0,843.0,194.0,78.0
1000.0,0.003031,4865.0,4271.0,950.0,4415.0,3882.0,836.0,1023.0,843.0,194.0,78.0
1000.0,0.003032,4866.0,4270.0,950.0,4415.0,3882.0,836.0,1023.0,843.0,194.0,79.0
1000.0,0.0030329999999999997,4866.0,4270.0,950.0,4415.0,3882.0,836.0,1023.0,843.0,194.0,79.0
1000.0,0.003034,4866.0,4270.0,950.0,4415.0,3882.0,836.0,1023.0,843.0,194.0,79.0
1000.0,0.003035,4866.0,4270.0,950.0,4415.0,3882.0,836.0,1023.0,843.0,194.0,79.0
1000.0,0.003036,4866.0,4269.0,951.0,4415.0,3882.0,836.0,1023.0,844.0,193.0,79.0
1000.0,0.0030369999999999998,4866.0,4269.0,951.0,4415.0,3882.0,836.0,1023.0,844.0,193.0,79.0
1000.0,0.003038,4867.0,4269.0,951.0,4414.0,3882.0,836.0,1023.0,844.0,193.0,80.0
1000.0,0.003039,4867.0,4270.0,951.0,4414.0,3881.0,836.0,1023.0,844.0,193.0,81.0
1000.0,0.0030399999999999997,4866.0,4271.0,951.0,4414.0,3881.0,836.0,1023.0,844.0,193.0,80.0
1000.0,0.003041,4866.0,4271.0,951.0,4414.0,3881.0,836.0,1023.0,844.0,193.0,80.0
1000.0,0.003042,4866.0,4271.0,951.0,4414.0,3881.0,836.0,1023.0,844.0,193.0,80.0
1000.0,0.0030429999999999997,4865.0,4274.0,949.0,4414.0,3881.0,836.0,1023.0,844.0,193.0,81.0
1000.0,0.003044,4865.0,4274.0,949.0,4415.0,3880.0,836.0,1023.0,844.0,193.0,82.0
1000.0,0.003045,4865.0,4274.0,949.0,4415.0,3880.0,836.0,1023.0,844.0,193.0,82.0
1000.0,0.0030459999999999997,4865.0,4274.0,949.0,4415.0,3880.0,836.0,1023.0,845.0,192.0,83.0
1000.0,0.003047,4864.0,4277.0,948.0,4415.0,3879.0,836.0,1023.0,845.0,192.0,84.0
1000.0,0.003048,4863.0,4278.0,948.0,4415.0,3879.0,836.0,1023.0,845.0,192.0,83.0
1000.0,0.003049,4863.0,4278.0,948.0,4415.0,3879.0,836.0,1023.0,845.0,192.0,83.0
1000.0,0.0030499999999999998,4862.0,4278.0,948.0,4416.0,3879.0,836.0,1023.0,845.0,192.0,82.0
