trial,timepoints,vdcc_c0,vdcc_c1,vdcc_c2,vdcc_c3,vdcc_o,ca_sum,ca
1000.0,9.001,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.002,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.003,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.004,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.005,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.006,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.007,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.008000000000001,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.009,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.01,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.011000000000001,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.012,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.013,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.014,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.015,58.0,6.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.016,58.0,6.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.017,58.0,6.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.018,59.0,5.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.019,59.0,5.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.02,59.0,5.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.021,59.0,5.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.022,60.0,4.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.023,60.0,4.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.024000000000001,60.0,4.0,1.0,0.0,0.0,9812.0,0.0
1000.0,9.025,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.026,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.027000000000001,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.028,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
